Session will be spooled to /home/appuser/query10.txt
Enter SPOOL OFF to disable

ksql> SELECT
    from_unixtime(WINDOWSTART) as window_start,
    from_unixtime(WINDOWEND) as window_end,
    stressId,
    min(stressLevel) as min_stress
  FROM stressStream
    WINDOW SESSION (5 SECONDS)
    GROUP BY stressId
    EMIT CHANGES;
+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+
|WINDOW_START                                        |WINDOW_END                                          |STRESSID                                            |MIN_STRESS                                          |
+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+
|2024-06-05T15:52:11.000                             |2024-06-05T15:52:11.000                             |2                                                   |6                                                   |
|2024-06-05T15:52:12.000                             |2024-06-05T15:52:12.000                             |3                                                   |3                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |3                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:12.000                             |2024-06-05T15:52:15.000                             |3                                                   |3                                                   |
|2024-06-05T15:52:16.000                             |2024-06-05T15:52:16.000                             |1                                                   |7                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |1                                                   |<TOMBSTONE>                                         |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |3                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:12.000                             |2024-06-05T15:52:19.000                             |3                                                   |3                                                   |
|2024-06-05T15:52:16.000                             |2024-06-05T15:52:20.000                             |1                                                   |4                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |3                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:12.000                             |2024-06-05T15:52:23.000                             |3                                                   |1                                                   |
|2024-06-05T15:52:24.000                             |2024-06-05T15:52:24.000                             |2                                                   |2                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |2                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:24.000                             |2024-06-05T15:52:25.000                             |2                                                   |2                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |3                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:12.000                             |2024-06-05T15:52:27.000                             |3                                                   |1                                                   |
|2024-06-05T15:52:28.000                             |2024-06-05T15:52:28.000                             |1                                                   |5                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |2                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:24.000                             |2024-06-05T15:52:29.000                             |2                                                   |2                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |3                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:12.000                             |2024-06-05T15:52:32.000                             |3                                                   |1                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |1                                                   |<TOMBSTONE>                                         |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |3                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:12.000                             |2024-06-05T15:52:34.000                             |3                                                   |1                                                   |
|2024-06-05T15:52:28.000                             |2024-06-05T15:52:35.000                             |1                                                   |3                                                   |
|2024-06-05T15:52:36.000                             |2024-06-05T15:52:36.000                             |2                                                   |7                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |1                                                   |<TOMBSTONE>                                         |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |3                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:12.000                             |2024-06-05T15:52:39.000                             |3                                                   |1                                                   |
|2024-06-05T15:52:28.000                             |2024-06-05T15:52:40.000                             |1                                                   |1                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |1                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:42.000                             |2024-06-05T15:52:42.000                             |2                                                   |2                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |3                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:12.000                             |2024-06-05T15:52:43.000                             |3                                                   |1                                                   |
|2024-06-05T15:52:28.000                             |2024-06-05T15:52:44.000                             |1                                                   |1                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |1                                                   |<TOMBSTONE>                                         |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |3                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:12.000                             |2024-06-05T15:52:46.000                             |3                                                   |1                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |2                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:42.000                             |2024-06-05T15:52:47.000                             |2                                                   |2                                                   |
|2024-06-05T15:52:28.000                             |2024-06-05T15:52:48.000                             |1                                                   |1                                                   |
