Session will be spooled to /home/appuser/query15.txt
Enter SPOOL OFF to disable

ksql> SELECT
    from_unixtime(WINDOWSTART) as window_start,
    from_unixtime(WINDOWEND) as window_end,
    weightId,
    avg(weight) as avg_weight
      FROM weightStream
    WINDOW SESSION (3 SECONDS)
    GROUP BY weightId
    EMIT CHANGES;
+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+
|WINDOW_START                                        |WINDOW_END                                          |WEIGHTID                                            |AVG_WEIGHT                                          |
+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+
|2024-06-05T15:52:12.000                             |2024-06-05T15:52:12.000                             |1                                                   |17.78645713383513                                   |
|2024-06-05T15:52:11.000                             |2024-06-05T15:52:13.000                             |2                                                   |17.69218787610084                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |2                                                   |<TOMBSTONE>                                         |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |2                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:11.000                             |2024-06-05T15:52:15.000                             |2                                                   |16.059894827090517                                  |
|2024-06-05T15:52:19.000                             |2024-06-05T15:52:19.000                             |2                                                   |17.71645127991409                                   |
|2024-06-05T15:52:18.000                             |2024-06-05T15:52:20.000                             |1                                                   |10.836379693506888                                  |
|2024-06-05T15:52:21.000                             |2024-06-05T15:52:21.000                             |3                                                   |14.057160248735945                                  |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |2                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:19.000                             |2024-06-05T15:52:22.000                             |2                                                   |17.966117409972952                                  |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |1                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:18.000                             |2024-06-05T15:52:25.000                             |1                                                   |12.467417758638168                                  |
|2024-06-05T15:52:27.000                             |2024-06-05T15:52:28.000                             |2                                                   |13.195462192993407                                  |
|2024-06-05T15:52:26.000                             |2024-06-05T15:52:29.000                             |3                                                   |19.041669480007748                                  |
|2024-06-05T15:52:30.000                             |2024-06-05T15:52:30.000                             |1                                                   |19.86265673817005                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |3                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:26.000                             |2024-06-05T15:52:32.000                             |3                                                   |16.733326230511754                                  |
|2024-06-05T15:52:33.000                             |2024-06-05T15:52:33.000                             |2                                                   |15.053304395295692                                  |
|2024-06-05T15:52:34.000                             |2024-06-05T15:52:34.000                             |1                                                   |13.602831070711469                                  |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |3                                                   |<TOMBSTONE>                                         |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |2                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:33.000                             |2024-06-05T15:52:36.000                             |2                                                   |17.074215182664496                                  |
|2024-06-05T15:52:26.000                             |2024-06-05T15:52:37.000                             |3                                                   |17.013062115891064                                  |
|2024-06-05T15:52:38.000                             |2024-06-05T15:52:38.000                             |1                                                   |11.87039029867167                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |3                                                   |<TOMBSTONE>                                         |
