Session will be spooled to /home/appuser/query23.txt
Enter SPOOL OFF to disable

ksql> SELECT
  from_unixtime(WINDOWSTART) as window_start,
  from_unixtime(WINDOWEND) as window_end,
  weightId,
  count(*) as numberOfEvents
    FROM weightStream
  WINDOW HOPPING (SIZE 10 SECONDS, ADVANCE BY 5 SECONDS)
  GROUP BY weightId
  EMIT CHANGES;
+---------------------------------------------------------------------------+---------------------------------------------------------------------------+---------------------------------------------------------------------------+---------------------------------------------------------------------------+
|WINDOW_START                                                               |WINDOW_END                                                                 |WEIGHTID                                                                   |NUMBEROFEVENTS                                                             |
+---------------------------------------------------------------------------+---------------------------------------------------------------------------+---------------------------------------------------------------------------+---------------------------------------------------------------------------+
|2024-06-05T15:52:05.000                                                    |2024-06-05T15:52:15.000                                                    |1                                                                          |1                                                                          |
|2024-06-05T15:52:05.000                                                    |2024-06-05T15:52:15.000                                                    |2                                                                          |2                                                                          |
|2024-06-05T15:52:05.000                                                    |2024-06-05T15:52:15.000                                                    |3                                                                          |1                                                                          |
|2024-06-05T15:52:10.000                                                    |2024-06-05T15:52:20.000                                                    |3                                                                          |3                                                                          |
|2024-06-05T15:52:10.000                                                    |2024-06-05T15:52:20.000                                                    |1                                                                          |2                                                                          |
|2024-06-05T15:52:10.000                                                    |2024-06-05T15:52:20.000                                                    |2                                                                          |4                                                                          |
|2024-06-05T15:52:15.000                                                    |2024-06-05T15:52:25.000                                                    |3                                                                          |3                                                                          |
|2024-06-05T15:52:15.000                                                    |2024-06-05T15:52:25.000                                                    |2                                                                          |3                                                                          |
|2024-06-05T15:52:15.000                                                    |2024-06-05T15:52:25.000                                                    |1                                                                          |4                                                                          |
|2024-06-05T15:52:20.000                                                    |2024-06-05T15:52:30.000                                                    |1                                                                          |4                                                                          |
|2024-06-05T15:52:20.000                                                    |2024-06-05T15:52:30.000                                                    |2                                                                          |3                                                                          |
|2024-06-05T15:52:20.000                                                    |2024-06-05T15:52:30.000                                                    |3                                                                          |3                                                                          |
|2024-06-05T15:52:25.000                                                    |2024-06-05T15:52:35.000                                                    |3                                                                          |4                                                                          |
|2024-06-05T15:52:25.000                                                    |2024-06-05T15:52:35.000                                                    |2                                                                          |3                                                                          |
|2024-06-05T15:52:25.000                                                    |2024-06-05T15:52:35.000                                                    |1                                                                          |3                                                                          |
|2024-06-05T15:52:30.000                                                    |2024-06-05T15:52:40.000                                                    |2                                                                          |2                                                                          |
|2024-06-05T15:52:30.000                                                    |2024-06-05T15:52:40.000                                                    |1                                                                          |3                                                                          |
|2024-06-05T15:52:30.000                                                    |2024-06-05T15:52:40.000                                                    |3                                                                          |5                                                                          |
|2024-06-05T15:52:35.000                                                    |2024-06-05T15:52:45.000                                                    |2                                                                          |2                                                                          |
|2024-06-05T15:52:35.000                                                    |2024-06-05T15:52:45.000                                                    |1                                                                          |3                                                                          |
|2024-06-05T15:52:40.000                                                    |2024-06-05T15:52:50.000                                                    |1                                                                          |2                                                                          |
|2024-06-05T15:52:35.000                                                    |2024-06-05T15:52:45.000                                                    |3                                                                          |5                                                                          |
|2024-06-05T15:52:40.000                                                    |2024-06-05T15:52:50.000                                                    |3                                                                          |6                                                                          |
|2024-06-05T15:52:45.000                                                    |2024-06-05T15:52:55.000                                                    |3                                                                          |4                                                                          |
|2024-06-05T15:52:40.000                                                    |2024-06-05T15:52:50.000                                                    |2                                                                          |2                                                                          |
|2024-06-05T15:52:45.000                                                    |2024-06-05T15:52:55.000                                                    |1                                                                          |2                                                                          |
|2024-06-05T15:52:45.000                                                    |2024-06-05T15:52:55.000                                                    |2                                                                          |4                                                                          |
|2024-06-05T15:52:50.000                                                    |2024-06-05T15:53:00.000                                                    |2                                                                          |4                                                                          |
|2024-06-05T15:52:50.000                                                    |2024-06-05T15:53:00.000                                                    |3                                                                          |1                                                                          |
|2024-06-05T15:52:50.000                                                    |2024-06-05T15:53:00.000                                                    |1                                                                          |5                                                                          |
|2024-06-05T15:52:55.000                                                    |2024-06-05T15:53:05.000                                                    |2                                                                          |3                                                                          |
|2024-06-05T15:52:55.000                                                    |2024-06-05T15:53:05.000                                                    |1                                                                          |5                                                                          |
|2024-06-05T15:53:00.000                                                    |2024-06-05T15:53:10.000                                                    |1                                                                          |2                                                                          |
|2024-06-05T15:52:55.000                                                    |2024-06-05T15:53:05.000                                                    |3                                                                          |2                                                                          |
|2024-06-05T15:53:00.000                                                    |2024-06-05T15:53:10.000                                                    |2                                                                          |4                                                                          |
|2024-06-05T15:53:05.000                                                    |2024-06-05T15:53:15.000                                                    |2                                                                          |2                                                                          |
|2024-06-05T15:53:00.000                                                    |2024-06-05T15:53:10.000                                                    |3                                                                          |4                                                                          |
|2024-06-05T15:53:05.000                                                    |2024-06-05T15:53:15.000                                                    |3                                                                          |3                                                                          |
Query terminated

ksql> 

ksql> spool off
