Session will be spooled to /home/appuser/flink-spark-ksqldb.txt
Enter SPOOL OFF to disable

ksql> SELECT
  from_unixtime(WINDOWSTART) as windowOpen,
  from_unixtime(WINDOWEND) as windowClose,
  id,
  max(maxStress) as maxStress
FROM outputStream
  WINDOW TUMBLING (SIZE 10 SECONDS)
  GROUP BY id
  EMIT CHANGES;
+------------------------------------------------------+------------------------------------------------------+------------------------------------------------------+------------------------------------------------------+
|WINDOWOPEN                                            |WINDOWCLOSE                                           |ID                                                    |MAXSTRESS                                             |
+------------------------------------------------------+------------------------------------------------------+------------------------------------------------------+------------------------------------------------------+
|2024-06-05T15:52:10.000                               |2024-06-05T15:52:20.000                               |2                                                     |6                                                     |
|2024-06-05T15:52:10.000                               |2024-06-05T15:52:20.000                               |2                                                     |6                                                     |
|2024-06-05T15:52:10.000                               |2024-06-05T15:52:20.000                               |3                                                     |5                                                     |
|2024-06-05T15:52:20.000                               |2024-06-05T15:52:30.000                               |1                                                     |7                                                     |
|2024-06-05T15:52:20.000                               |2024-06-05T15:52:30.000                               |3                                                     |6                                                     |
|2024-06-05T15:52:20.000                               |2024-06-05T15:52:30.000                               |1                                                     |7                                                     |
|2024-06-05T15:52:20.000                               |2024-06-05T15:52:30.000                               |1                                                     |7                                                     |
|2024-06-05T15:52:20.000                               |2024-06-05T15:52:30.000                               |3                                                     |8                                                     |
|2024-06-05T15:52:20.000                               |2024-06-05T15:52:30.000                               |1                                                     |7                                                     |
|2024-06-05T15:52:20.000                               |2024-06-05T15:52:30.000                               |2                                                     |5                                                     |
|2024-06-05T15:52:20.000                               |2024-06-05T15:52:30.000                               |3                                                     |8                                                     |
|2024-06-05T15:52:30.000                               |2024-06-05T15:52:40.000                               |1                                                     |5                                                     |
|2024-06-05T15:52:40.000                               |2024-06-05T15:52:50.000                               |2                                                     |7                                                     |
|2024-06-05T15:52:30.000                               |2024-06-05T15:52:40.000                               |3                                                     |6                                                     |
|2024-06-05T15:52:30.000                               |2024-06-05T15:52:40.000                               |2                                                     |5                                                     |
|2024-06-05T15:52:40.000                               |2024-06-05T15:52:50.000                               |3                                                     |2                                                     |
|2024-06-05T15:52:40.000                               |2024-06-05T15:52:50.000                               |1                                                     |4                                                     |
|2024-06-05T15:52:30.000                               |2024-06-05T15:52:40.000                               |1                                                     |5                                                     |
|2024-06-05T15:52:30.000                               |2024-06-05T15:52:40.000                               |3                                                     |6                                                     |
|2024-06-05T15:52:40.000                               |2024-06-05T15:52:50.000                               |1                                                     |8                                                     |
|2024-06-05T15:52:50.000                               |2024-06-05T15:53:00.000                               |2                                                     |2                                                     |
|2024-06-05T15:52:50.000                               |2024-06-05T15:53:00.000                               |1                                                     |8                                                     |
|2024-06-05T15:52:40.000                               |2024-06-05T15:52:50.000                               |1                                                     |8                                                     |
|2024-06-05T15:52:40.000                               |2024-06-05T15:52:50.000                               |2                                                     |7                                                     |
|2024-06-05T15:52:50.000                               |2024-06-05T15:53:00.000                               |3                                                     |8                                                     |
|2024-06-05T15:52:40.000                               |2024-06-05T15:52:50.000                               |3                                                     |7                                                     |
|2024-06-05T15:52:50.000                               |2024-06-05T15:53:00.000                               |3                                                     |8                                                     |
|2024-06-05T15:52:40.000                               |2024-06-05T15:52:50.000                               |2                                                     |7                                                     |
|2024-06-05T15:52:50.000                               |2024-06-05T15:53:00.000                               |2                                                     |2                                                     |
|2024-06-05T15:52:50.000                               |2024-06-05T15:53:00.000                               |1                                                     |8                                                     |
|2024-06-05T15:52:40.000                               |2024-06-05T15:52:50.000                               |1                                                     |8                                                     |
|2024-06-05T15:52:40.000                               |2024-06-05T15:52:50.000                               |3                                                     |7                                                     |
|2024-06-05T15:52:50.000                               |2024-06-05T15:53:00.000                               |1                                                     |8                                                     |
|2024-06-05T15:52:50.000                               |2024-06-05T15:53:00.000                               |2                                                     |7                                                     |
|2024-06-05T15:53:00.000                               |2024-06-05T15:53:10.000                               |3                                                     |8                                                     |
|2024-06-05T15:53:00.000                               |2024-06-05T15:53:10.000                               |2                                                     |7                                                     |
|2024-06-05T15:52:50.000                               |2024-06-05T15:53:00.000                               |2                                                     |7                                                     |
|2024-06-05T15:53:00.000                               |2024-06-05T15:53:10.000                               |1                                                     |7                                                     |
|2024-06-05T15:52:50.000                               |2024-06-05T15:53:00.000                               |2                                                     |7                                                     |
|2024-06-05T15:52:50.000                               |2024-06-05T15:53:00.000                               |1                                                     |8                                                     |
|2024-06-05T15:53:00.000                               |2024-06-05T15:53:10.000                               |1                                                     |7                                                     |
|2024-06-05T15:53:00.000                               |2024-06-05T15:53:10.000                               |1                                                     |7                                                     |
|2024-06-05T15:53:00.000                               |2024-06-05T15:53:10.000                               |2                                                     |7                                                     |
Query terminated

ksql> spool off
