Session will be spooled to /home/appuser/query3.txt
Enter SPOOL OFF to disable

ksql> SELECT
  from_unixtime(WINDOWSTART) as window_start,
  from_unixtime(WINDOWEND) as window_end,
  avg(stressLevel) as avg_stress
FROM stressStream
  WINDOW HOPPING (SIZE 10 SECONDS, ADVANCE BY 1 SECOND)
  EMIT CHANGES;
+-------------------------------------------------------------------------+-------------------------------------------------------------------------+-------------------------------------------------------------------------+
|WINDOW_START                                                             |WINDOW_END                                                               |AVG_STRESS                                                               |
+-------------------------------------------------------------------------+-------------------------------------------------------------------------+-------------------------------------------------------------------------+
|2024-06-03T15:37:03.000                                                  |2024-06-03T15:37:13.000                                                  |8.0                                                                      |
|2024-06-03T15:37:04.000                                                  |2024-06-03T15:37:14.000                                                  |4.5                                                                      |
|2024-06-03T15:37:05.000                                                  |2024-06-03T15:37:15.000                                                  |4.666666666666667                                                        |
|2024-06-03T15:37:06.000                                                  |2024-06-03T15:37:16.000                                                  |5.0                                                                      |
|2024-06-03T15:37:07.000                                                  |2024-06-03T15:37:17.000                                                  |4.8                                                                      |
|2024-06-03T15:37:08.000                                                  |2024-06-03T15:37:18.000                                                  |4.166666666666667                                                        |
|2024-06-03T15:37:09.000                                                  |2024-06-03T15:37:19.000                                                  |4.571428571428571                                                        |
|2024-06-03T15:37:10.000                                                  |2024-06-03T15:37:20.000                                                  |4.5                                                                      |
|2024-06-03T15:37:11.000                                                  |2024-06-03T15:37:21.000                                                  |4.666666666666667                                                        |
|2024-06-03T15:37:12.000                                                  |2024-06-03T15:37:22.000                                                  |4.5                                                                      |
|2024-06-03T15:37:13.000                                                  |2024-06-03T15:37:23.000                                                  |3.8                                                                      |
|2024-06-03T15:37:14.000                                                  |2024-06-03T15:37:24.000                                                  |4.4                                                                      |
|2024-06-03T15:37:15.000                                                  |2024-06-03T15:37:25.000                                                  |4.2                                                                      |
|2024-06-03T15:37:16.000                                                  |2024-06-03T15:37:26.000                                                  |3.9                                                                      |
|2024-06-03T15:37:17.000                                                  |2024-06-03T15:37:27.000                                                  |3.8                                                                      |
|2024-06-03T15:37:18.000                                                  |2024-06-03T15:37:28.000                                                  |4.4                                                                      |
|2024-06-03T15:37:19.000                                                  |2024-06-03T15:37:29.000                                                  |3.8                                                                      |
|2024-06-03T15:37:20.000                                                  |2024-06-03T15:37:30.000                                                  |3.9                                                                      |
|2024-06-03T15:37:21.000                                                  |2024-06-03T15:37:31.000                                                  |3.4                                                                      |
|2024-06-03T15:37:22.000                                                  |2024-06-03T15:37:32.000                                                  |3.3                                                                      |
|2024-06-03T15:37:23.000                                                  |2024-06-03T15:37:33.000                                                  |3.5                                                                      |
|2024-06-03T15:37:24.000                                                  |2024-06-03T15:37:34.000                                                  |3.4                                                                      |
|2024-06-03T15:37:25.000                                                  |2024-06-03T15:37:35.000                                                  |3.3                                                                      |
|2024-06-03T15:37:26.000                                                  |2024-06-03T15:37:36.000                                                  |3.7                                                                      |
|2024-06-03T15:37:27.000                                                  |2024-06-03T15:37:37.000                                                  |3.8                                                                      |
|2024-06-03T15:37:28.000                                                  |2024-06-03T15:37:38.000                                                  |3.3                                                                      |
|2024-06-03T15:37:29.000                                                  |2024-06-03T15:37:39.000                                                  |3.9                                                                      |
|2024-06-03T15:37:30.000                                                  |2024-06-03T15:37:40.000                                                  |3.9                                                                      |
|2024-06-03T15:37:31.000                                                  |2024-06-03T15:37:41.000                                                  |4.6                                                                      |
|2024-06-03T15:37:32.000                                                  |2024-06-03T15:37:42.000                                                  |5.1                                                                      |
|2024-06-03T15:37:33.000                                                  |2024-06-03T15:37:43.000                                                  |5.5                                                                      |
|2024-06-03T15:37:34.000                                                  |2024-06-03T15:37:44.000                                                  |5.1                                                                      |
|2024-06-03T15:37:35.000                                                  |2024-06-03T15:37:45.000                                                  |5.0                                                                      |
|2024-06-03T15:37:36.000                                                  |2024-06-03T15:37:46.000                                                  |4.4                                                                      |
|2024-06-03T15:37:37.000                                                  |2024-06-03T15:37:47.000                                                  |4.5                                                                      |
|2024-06-03T15:37:38.000                                                  |2024-06-03T15:37:48.000                                                  |5.1                                                                      |
|2024-06-03T15:37:39.000                                                  |2024-06-03T15:37:49.000                                                  |4.8                                                                      |
|2024-06-03T15:37:40.000                                                  |2024-06-03T15:37:50.000                                                  |4.9                                                                      |
|2024-06-03T15:37:41.000                                                  |2024-06-03T15:37:51.000                                                  |4.4                                                                      |
|2024-06-03T15:37:42.000                                                  |2024-06-03T15:37:52.000                                                  |4.2                                                                      |
|2024-06-03T15:37:43.000                                                  |2024-06-03T15:37:53.000                                                  |4.0                                                                      |
|2024-06-03T15:37:44.000                                                  |2024-06-03T15:37:54.000                                                  |4.3                                                                      |
|2024-06-03T15:37:45.000                                                  |2024-06-03T15:37:55.000                                                  |4.9                                                                      |
|2024-06-03T15:37:46.000                                                  |2024-06-03T15:37:56.000                                                  |5.6                                                                      |
|2024-06-03T15:37:47.000                                                  |2024-06-03T15:37:57.000                                                  |5.3                                                                      |
|2024-06-03T15:37:48.000                                                  |2024-06-03T15:37:58.000                                                  |5.0                                                                      |
