Session will be spooled to /home/appuser/query6.txt
Enter SPOOL OFF to disable

ksql> SELECT
  from_unixtime(WINDOWSTART) as window_start,
  from_unixtime(WINDOWEND) as window_end,
  stressId,
  max(stressLevel) as max_stress
FROM stressStream
  WINDOW HOPPING (SIZE 10 SECONDS, ADVANCE BY 1 SECOND)
  GROUP BY stressId
  EMIT CHANGES;
+------------------------------------------------------+------------------------------------------------------+------------------------------------------------------+------------------------------------------------------+
|WINDOW_START                                          |WINDOW_END                                            |STRESSID                                              |MAX_STRESS                                            |
+------------------------------------------------------+------------------------------------------------------+------------------------------------------------------+------------------------------------------------------+
|2024-06-03T15:37:03.000                               |2024-06-03T15:37:13.000                               |3                                                     |8                                                     |
|2024-06-03T15:37:04.000                               |2024-06-03T15:37:14.000                               |3                                                     |8                                                     |
|2024-06-03T15:37:05.000                               |2024-06-03T15:37:15.000                               |3                                                     |8                                                     |
|2024-06-03T15:37:06.000                               |2024-06-03T15:37:16.000                               |3                                                     |8                                                     |
|2024-06-03T15:37:07.000                               |2024-06-03T15:37:17.000                               |3                                                     |8                                                     |
|2024-06-03T15:37:08.000                               |2024-06-03T15:37:18.000                               |3                                                     |8                                                     |
|2024-06-03T15:37:09.000                               |2024-06-03T15:37:19.000                               |3                                                     |8                                                     |
|2024-06-03T15:37:05.000                               |2024-06-03T15:37:15.000                               |1                                                     |5                                                     |
|2024-06-03T15:37:06.000                               |2024-06-03T15:37:16.000                               |1                                                     |6                                                     |
|2024-06-03T15:37:07.000                               |2024-06-03T15:37:17.000                               |1                                                     |6                                                     |
|2024-06-03T15:37:07.000                               |2024-06-03T15:37:17.000                               |2                                                     |4                                                     |
|2024-06-03T15:37:08.000                               |2024-06-03T15:37:18.000                               |2                                                     |4                                                     |
|2024-06-03T15:37:09.000                               |2024-06-03T15:37:19.000                               |2                                                     |4                                                     |
|2024-06-03T15:37:10.000                               |2024-06-03T15:37:20.000                               |2                                                     |4                                                     |
|2024-06-03T15:37:08.000                               |2024-06-03T15:37:18.000                               |1                                                     |6                                                     |
|2024-06-03T15:37:09.000                               |2024-06-03T15:37:19.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:10.000                               |2024-06-03T15:37:20.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:11.000                               |2024-06-03T15:37:21.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:12.000                               |2024-06-03T15:37:22.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:13.000                               |2024-06-03T15:37:23.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:14.000                               |2024-06-03T15:37:24.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:15.000                               |2024-06-03T15:37:25.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:16.000                               |2024-06-03T15:37:26.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:10.000                               |2024-06-03T15:37:20.000                               |3                                                     |8                                                     |
